utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,Roll Number,Name,date,expName,psychopyVersion,frameRate,
85,0,85,0,,,,,,,,,79.51528409999446,79.51528409999446,79.51528409999446,79.51528409999446,79.51528409999446,q,0.1054936999862548,79.64663490001112,79.64663490001112,80.04787479998777,80.04787479998777,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
86,0,86,0,,,,,,,,,80.04787479998777,80.04787479998777,80.04787479998777,80.04787479998777,80.04787479998777,q,0.10295319999568164,80.17987650001305,80.17987650001305,80.58097819998511,80.58097819998511,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
87,0,87,0,,,,,,,,,80.58097819998511,80.58097819998511,80.58097819998511,80.58097819998511,80.58097819998511,q,0.21237339999061078,80.82829820000916,80.82829820000916,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
88,0,88,0,,,,,,,,,81.23196880001342,81.23196880001342,81.23196880001342,81.23196880001342,81.23196880001342,q,0.2221136000007391,81.47915430000285,81.47915430000285,81.88097679999191,81.88097679999191,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
89,0,89,0,,,,,,,,,81.88097679999191,81.88097679999191,81.88097679999191,81.88097679999191,81.88097679999191,q,0.19967040000483394,82.11123929999303,82.11123929999303,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
90,0,90,0,,,,,,,,,82.51425159999053,82.51425159999053,82.51425159999053,82.51425159999053,82.51425159999053,q,0.2573612999985926,82.79564900000696,82.79564900000696,83.19685730000492,83.19685730000492,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
91,0,91,0,,,,,,,,,83.19685730000492,83.19685730000492,83.19685730000492,83.19685730000492,83.19685730000492,q,0.27133100002538413,83.49459690001095,83.49459690001095,83.90867460001027,83.90867460001027,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
92,0,92,0,,,,,,,,,83.90867460001027,83.90867460001027,83.90867460001027,83.90867460001027,83.90867460001027,q,0.357689800002845,84.29444749999675,84.29444749999675,84.69632149999961,84.69632149999961,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
93,0,93,0,,,,,,,,,84.69632149999961,84.69632149999961,84.69632149999961,84.69632149999961,84.69632149999961,q,0.2257161999878008,84.94470930000534,84.94470930000534,85.34503060000134,85.34503060000134,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
94,0,94,0,,,,,,,,,85.34503060000134,85.34503060000134,85.34503060000134,85.34503060000134,85.34503060000134,q,0.761941000004299,86.14219199999934,86.14219199999934,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
95,0,95,0,,,,,,,,,86.5449549999903,86.5449549999903,86.5449549999903,86.5449549999903,86.5449549999903,q,0.23954809998394921,86.80962169999839,86.80962169999839,87.21111870001187,87.21111870001187,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
96,0,96,0,,,,,,,,,87.21111870001187,87.21111870001187,87.21111870001187,87.21111870001187,87.21111870001187,q,0.24092019998352043,87.47646989999339,87.47646989999339,87.87707749998663,87.87707749998663,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
97,0,97,0,,,,,,,,,87.87707749998663,87.87707749998663,87.87707749998663,87.87707749998663,87.87707749998663,q,0.2650832000072114,88.15882760001114,88.15882760001114,88.56073870000546,88.56073870000546,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
98,0,98,0,,,,,,,,,88.56073870000546,88.56073870000546,88.56073870000546,88.56073870000546,88.56073870000546,q,0.24375870000221767,88.82570330001181,88.82570330001181,89.2269593999954,89.2269593999954,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
99,0,99,0,0,0,0,0,,,,,89.2269593999954,89.2269593999954,89.2269593999954,89.2269593999954,89.2269593999954,q,0.1294429000117816,89.37566089999746,89.37566089999746,89.77523679999285,89.77523679999285,89.77523679999285,89.77523679999285,space,2.472421899990877,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
100,0,100,0,,,,,,,,,92.29065790001187,92.29065790001187,92.29065790001187,92.29065790001187,92.29065790001187,q,0.5406468999863137,92.87229609998758,92.87229609998758,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
101,0,101,0,,,,,,,,,93.27453600001172,93.27453600001172,93.27453600001172,93.27453600001172,93.27453600001172,q,0.2580858999863267,93.55678019998595,93.55678019998595,93.95805919999839,93.95805919999839,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
102,0,102,0,,,,,,,,,93.95805919999839,93.95805919999839,93.95805919999839,93.95805919999839,93.95805919999839,q,0.13166010001441464,94.10604690000764,94.10604690000764,94.50741449999623,94.50741449999623,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
103,0,103,0,,,,,,,,,94.50741449999623,94.50741449999623,94.50741449999623,94.50741449999623,94.50741449999623,q,0.11805469999671914,94.67177240000456,94.67177240000456,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
104,0,104,0,,,,,,,,,95.0738374000066,95.0738374000066,95.0738374000066,95.0738374000066,95.0738374000066,q,0.12864879998960532,95.22199069999624,95.22199069999624,95.62312649999512,95.62312649999512,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
105,0,105,0,,,,,,,,,95.62312649999512,95.62312649999512,95.62312649999512,95.62312649999512,95.62312649999512,q,0.1048509000102058,95.75505750000593,95.75505750000593,96.15662019999581,96.15662019999581,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
106,0,106,0,,,,,,,,,96.15662019999581,96.15662019999581,96.15662019999581,96.15662019999581,96.15662019999581,q,0.03485510000609793,96.2217559000128,96.2217559000128,96.62326659998507,96.62326659998507,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
107,0,107,0,,,,,,,,,96.62326659998507,96.62326659998507,96.62326659998507,96.62326659998507,96.62326659998507,q,0.11888299998827279,96.77157139999326,96.77157139999326,97.17306169998483,97.17306169998483,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
