utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,clk.started,clk.stopped,sad.started,text_2.started,sad.stopped,text_2.stopped,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
39,0,39,0,,,,,,,,,,,,,,,,,62.3597776000388,62.3597776000388,62.3597776000388,62.3597776000388,62.3597776000388,w,0.21669579995796084,62.588262900011614,62.588262900011614,62.98971340013668,62.98971340013668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.98971340013668,62.98971340013668,space,0.8259669998660684,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,63.82628719997592,63.82628719997592,63.82628719997592,63.82628719997592,63.82628719997592,63.82628719997592,63.82628719997592,63.82628719997592,63.82628719997592,q,0.3745589000172913,64.21272969990969,64.21272969990969,64.21272969990969,64.21272969990969,64.61650020000525,64.61650020000525,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,64.61650020000525,64.61650020000525,64.61650020000525,64.61650020000525,64.61650020000525,64.61650020000525,64.61650020000525,64.61650020000525,64.61650020000525,q,0.19285120000131428,64.81701299990527,64.81701299990527,64.81701299990527,64.81701299990527,65.22085899999365,65.22085899999365,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,65.22085899999365,65.22085899999365,65.22085899999365,65.22085899999365,65.22085899999365,65.22085899999365,65.22085899999365,65.22085899999365,65.22085899999365,q,0.18152810004539788,65.4139880000148,65.4139880000148,65.4139880000148,65.4139880000148,65.81860210001469,65.81860210001469,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,65.81860210001469,65.81860210001469,65.81860210001469,65.81860210001469,65.81860210001469,65.81860210001469,65.81860210001469,65.81860210001469,65.81860210001469,q,0.21763009997084737,66.0465587999206,66.0465587999206,66.0465587999206,66.0465587999206,66.44998229993507,66.44998229993507,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,66.44998229993507,66.44998229993507,66.44998229993507,66.44998229993507,66.44998229993507,66.44998229993507,66.44998229993507,66.44998229993507,66.44998229993507,q,0.215097599895671,66.67183239990845,66.67183239990845,66.67183239990845,66.67183239990845,67.07476330013014,67.07476330013014,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,67.07476330013014,67.07476330013014,67.07476330013014,67.07476330013014,67.07476330013014,67.07476330013014,67.07476330013014,67.07476330013014,67.07476330013014,p,0.23762669996358454,67.32394129992463,67.32394129992463,67.32394129992463,67.32394129992463,67.72784309997223,67.72784309997223,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,67.72784309997223,67.72784309997223,67.72784309997223,67.72784309997223,67.72784309997223,67.72784309997223,67.72784309997223,67.72784309997223,67.72784309997223,p,0.22010960010811687,67.974392300006,67.974392300006,67.974392300006,67.974392300006,68.38021510001272,68.38021510001272,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,68.38021510001272,68.38021510001272,68.38021510001272,68.38021510001272,68.38021510001272,68.38021510001272,68.38021510001272,68.38021510001272,68.38021510001272,p,0.20111260004341602,68.58655259991065,68.58655259991065,68.58655259991065,68.58655259991065,68.9915861999616,68.9915861999616,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
