newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,text_2.stopped,text_7.stopped,text.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
54,0,54,0,,,,,,,,,,,,,,,,,86.36680339998566,86.36680339998566,86.36680339998566,86.36680339998566,86.36680339998566,p,0.18092680000700057,86.563800400123,86.5806221999228,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
55,0,55,0,,,,,,,,,,,,,,,,,86.98348490009084,86.98348490009084,86.98348490009084,86.98348490009084,86.98348490009084,p,0.15103659988380969,87.16401510010473,87.1805271001067,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
56,0,56,0,,,,,,,,,,,,,,,,,87.58328519994393,87.58328519994393,87.58328519994393,87.58328519994393,87.58328519994393,o,0.18295040004886687,87.78030079999007,87.79683250002563,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
57,0,57,0,,,,,,,,,,,,,,,,,88.19940860010684,88.19940860010684,88.19940860010684,88.19940860010684,88.19940860010684,p,0.18303969991393387,88.39681830001064,88.41339699993841,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
58,0,58,0,,,,,,,,,,,,,,,,,88.8160826000385,88.8160826000385,88.8160826000385,88.8160826000385,88.8160826000385,p,0.14775350014679134,88.98038919991814,88.99691680003889,,,,,,,,,,89.39926670002751,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
59,0,59,0,,,,,,,,,,,,,,,,,89.39926670002751,89.39926670002751,89.39926670002751,89.39926670002751,89.39926670002751,p,0.10319130006246269,89.53076090011746,89.54678869992495,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
60,0,60,0,,,,,,,,,,,,,,,,,89.94935050001368,89.94935050001368,89.94935050001368,89.94935050001368,89.94935050001368,p,0.12985439994372427,90.09674479998648,90.11334479996003,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
61,0,61,0,,,,,,,,,,,,,,,,,90.51683049998246,90.51683049998246,90.51683049998246,90.51683049998246,90.51683049998246,p,0.13029469992034137,90.66364299994893,90.68029629997909,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
62,0,62,0,,,,,0,0,0,0,,,,,,,,,91.08306480012834,91.08306480012834,91.08306480012834,91.08306480012834,91.08306480012834,p,0.13464160007424653,91.24667060002685,91.26329010003246,91.66350300004706,91.66350300004706,91.66350300004706, ,space,7.6343444001395255,99.33016879996285,99.7300446999725,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
